Month,Monthly Diff,TOTAL,uniswap,spiritswap,balancer,curve,apeswap,iziswap,trader joe,biswap,swapr,spookyswap,equalizer_exchange,spartacus_exchange,sushiswap,clipper,beethoven_x,kyberswap,airswap,maverick,ellipsis_finance,integral,defiswap,mstable,onepunchswap,quickswap,pancakeswap,babyswap,glacier,DODO,shibaswap,synthetix,nomiswap,rubicon,hashflow,wombat,wigoswap,Bancor Network,velodrome,fraxswap,mdex,arbswap,zipswap,gmx,verse_dex,dfx,platypus_finance,woofi,zigzag
2021-04-01,"0,00%",8 781 053 475,2 011 936 768,65 867 285,148 971 753,323 404 383,207 367 016,,,,13 570,22 315 592,,,561 398 525,,,4 840 349,5 838 444,,22 744 022,,3 935 462,3 444 210,,,2 383 117 229,,,237 720 112,,,,,,,,166 334 645,,,2 611 804 107,,,,,,,,
2021-05-01,"31,11%",281 987 698 860,90 829 997 772,1 004 019 203,4 325 119 635,13 155 038 740,2 315 517 194,,,139 310 901,2 292 470,753 070 296,,,28 670 074 370,,,65 280 692,188 868 271,,20 861 482 404,,242 313 692,132 684 267,,,64 480 229 013,,,4 563 856 165,,,,,,,,5 478 141 811,,,44 779 300 303,,,,,1 101 660,,,
2021-06-01,"-53,88%",130 044 898 801,59 292 663 051,116 513 820,1 356 922 016,7 034 636 234,749 242 858,,,1 671 910 723,1 565 699,263 746 693,,,13 324 863 221,10 285,,27 089 066,55 638 331,,364 538 415,,79 037 237,281 574 542,,,19 287 127 433,312 389 063,,5 174 964 339,,,,,,,,1 726 793 511,,,18 903 631 634,,,,,20 040 631,,,
2021-07-01,"-28,27%",93 284 555 502,39 845 604 044,46 169 186,1 492 908 501,6 238 303 267,886 020 837,,21 960 716,1 166 319 308,2 498 268,172 867 243,,,6 790 391 147,35 689 964,,257 363 477,46 526 656,,439 323 845,,53 612 605,252 475 098,,,16 494 220 354,212 943 364,,3 550 014 644,1 849 620 910,,,,,,,1 231 557 520,,,12 187 692 161,,,,,10 472 386,,,
2021-08-01,"34,17%",125 161 244 035,54 730 196 334,217 842 891,1 676 822 015,6 869 750 923,1 472 379 462,,1 383 065 891,2 707 696 915,2 775 254,686 590 283,,,10 643 824 335,54 787 075,,397 012 790,84 383 716,,353 790 941,,50 265 860,203 571 352,,,24 432 525 386,625 552 466,,4 278 750 518,960 294 135,,,,,,,2 036 522 000,,,11 283 674 567,,,125,,9 168 801,,,
2021-09-01,"7,90%",135 050 694 873,54 065 940 927,703 003 003,2 356 330 867,7 992 480 312,1 476 142 447,,5 450 044 841,3 255 338 755,2 167 819,2 670 979 639,,,16 412 475 067,64 689 406,200 149,447 880 001,122 840 528,,344 210 941,,68 032 167,130 980 546,,,23 786 155 393,1 748 845 520,,4 381 675 902,665 021 732,,,,,,,1 733 767 898,,,7 138 322 816,,,17 492 806,,15 675 391,,,
2021-10-01,"22,01%",164 773 836 101,63 464 770 105,1 750 555 895,3 199 329 024,11 230 653 057,1 406 238 212,,7 211 123 939,3 133 341 072,2 263 947,4 756 554 576,,,19 161 819 054,54 996 725,433 032 844,236 815 515,101 417 115,,262 598 664,,61 865 925,146 726 772,,,30 894 780 813,1 307 113 774,,4 697 736 487,4 182 988 263,,,,,,,1 564 706 183,,,5 378 460 804,,,110 463 872,,23 305 548,,177 916,
2021-11-01,"40,66%",231 777 364 565,90 679 981 026,878 947 803,3 404 912 946,13 488 247 767,2 305 040 809,,16 098 707 452,5 829 197 377,2 142 067,5 951 534 177,,,17 707 673 077,32 392 612,425 871 126,507 339 774,107 733 796,,272 691 907,,234 880 949,217 076 871,,,57 038 429 214,4 471 864 431,,4 524 435 933,1 960 449 230,42 031 228,,,,,,1 815 138 173,,,3 657 463 581,,,102 814 936,,16 291 434,1 225 335,2 849 535,
2021-12-01,"-9,60%",209 523 549 192,87 240 789 860,837 024 373,3 647 576 632,20 300 498 887,1 257 346 130,,15 426 860 138,8 010 369 843,2 150 423,5 966 985 700,,,13 435 490 918,45 705 611,383 991 765,180 434 438,132 120 614,,171 003 942,,126 176 317,243 812 743,,,37 875 190 711,6 415 568 444,,4 333 510 925,895 736 319,66 026 563,,,,,,1 367 024 791,,,1 007 457 234,,15 378,82 876 174,,23 763 940,14 927 198,33 113 182,
2022-01-01,"-2,40%",204 487 879 847,75 861 263 288,2 388 852 659,3 461 500 619,26 336 829 905,687 683 322,,9 954 489 352,3 698 792 239,2 032 545,13 122 644 409,,,30 140 992 390,55 465 507,1 554 169 840,123 109 138,168 934 137,,148 769 312,,84 900 785,166 895 103,,,23 196 808 787,1 818 720 873,,6 722 059 825,642 412 735,68 087 874,,,1 079 603 775,,137 440,1 167 370 316,,,719 838 861,,83 971 926,236 767 915,,14 252 179,690 472 383,90 050 409,
2022-02-01,"-37,35%",128 120 965 838,58 291 016 886,854 912 120,2 547 874 868,11 627 781 573,445 928 442,,6 232 508 420,2 377 519 033,1 611 176,10 641 064 432,,,6 762 142 265,49 140 220,1 371 969 334,32 109 006,70 809 215,,51 399 266,,80 616 924,165 414 139,,,17 232 327 565,783 026 648,,5 512 725 724,499 055 542,47 199 126,,,566 693 166,,127 948 103,506 212 547,,,474 862 484,,15 821 557,128 633 021,,12 825 723,550 561 388,59 255 927,
